1;Silver;WHITE;new_icon/00000001_special
2;Gold Bar 1G;GOLD;new_icon/00000002_special
3;Gold Bar 10G;GOLD;new_icon/00000003_special
4;Gold Bar 100G;GOLD;new_icon/00000004_special
5;Gold Bar 1000G;GOLD;new_icon/00000005_special
6;Pearl;WHITE;new_icon/00000006_special
7;Loyalties;WHITE;new_icon/00000007_special
11;Pure Black Stone;ORANGE;new_icon/06_pc_equipitem/03_etc/12_doapplydirectlyitem/00000011
12;Pure Black Stone;ORANGE;new_icon/06_pc_equipitem/03_etc/12_doapplydirectlyitem/00000012
13;Pure Black Stone;ORANGE;new_icon/06_pc_equipitem/03_etc/12_doapplydirectlyitem/00000013
14;Pure Black Stone;ORANGE;new_icon/06_pc_equipitem/03_etc/12_doapplydirectlyitem/00000014
15;Pure Black Stone;ORANGE;new_icon/06_pc_equipitem/03_etc/12_doapplydirectlyitem/00000015
16;Pure Black Stone;ORANGE;new_icon/06_pc_equipitem/03_etc/12_doapplydirectlyitem/00000016
17;Pure Black Stone;ORANGE;new_icon/06_pc_equipitem/03_etc/12_doapplydirectlyitem/00000017
21;Bartali Gold Bar;GOLD;new_icon/00000021_special
22;Lauren Family's Gold Bar;GOLD;new_icon/00000022_special
23;Gold Bar from the Citizen Bank;GOLD;new_icon/00000023_special
24;셴 금괴;GOLD;new_icon/00000024_special
25;라바니아 금괴;GOLD;new_icon/00000025_special
26;아케르 금괴;GOLD;new_icon/00000026_special
27;드리간 금괴;GOLD;new_icon/00000027_special
28;Prognyl Silver Bar;GOLD;new_icon/00000028_special
31; Popularity Bonus Level 1;GOLD;new_icon/06_pc_equipitem/00_common/00_etc/00000031
32; Popularity Bonus Level 2;GOLD;new_icon/06_pc_equipitem/00_common/00_etc/00000032
33; Popularity Bonus Level 3;GOLD;new_icon/06_pc_equipitem/00_common/00_etc/00000033
34; Popularity Bonus Level 4;GOLD;new_icon/06_pc_equipitem/00_common/00_etc/00000034
51;Skill Point (1);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
52;Skill Points (2);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
53;Skill Points (3);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
54;Skill Points (4);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
55;Skill Points (5);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
56;Skill Points (6);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
57;Skill Points (7);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
58;Skill Points (8);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
59;Skill Points (9);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
60;Skill Points (10);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
61;Skill EXP (Red Battlefield Win);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
62;Skill EXP (Red Battlefield Lose);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
63;Skill EXP (Red Battlefield Win);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
64;Skill EXP (Red Battlefield Lose);WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
65;Skill EXP ;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
66;Skill EXP;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
67;Skill EXP;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
68;Skill EXP;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_skillpoint
70;Farming Skill Experience;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
71;Farming Skill Experience;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
72;Farming Skill Experience;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
73;Farming Skill Experience;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
74;Farming Skill Experience;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
75;Farming Skill Experience;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
76;Farming Skill Experience;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
77;Farming Skill Experience;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
78;Farming Skill Experience;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
79;Sailing Skill EXP;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
80;Sailing Skill EXP;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
81;Sailing Skill EXP;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
82;Sailing Skill EXP;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
83;Sailing Skill EXP;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
84;Sailing Skill EXP;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
85;Sailing Skill EXP;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
86;Sailing Skill EXP;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
87;Sailing Skill EXP;WHITE;new_icon/06_pc_equipitem/00_common/00_etc/00000000_craft
101;Warrior Skill Book - Chopping Kick;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
102;Warrior Skill Book - Charging Thrust;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
103;Warrior Skill Book - Spinning Slash;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
104;Ranger Skill Book - Evasive Shot II;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
105;Ranger Skill Book - Evasive Shot (Right);WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
106;Ranger Skill Book - Razor Wind;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
107;Sorceress Skill Book - Claws of Darkness;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
108;Sorceress Skill Book - Mark of the Shadow;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
109;Sorceress Skill Book - Shard Explosion;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
110;Berserker Skill Book - Shake Off;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
111;Berserker Skill Book - Predatory Hunt;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
112;Berserker Skill Book - Raging Thunder;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
113;Warrior Skill Book - Soul of Warrior;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
114;Ranger Skill Book - Wind of Spirit;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
115;Sorceress Skill Book - Dark Bound;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
116;Berserker Skill Book - Fort of Berserker;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
117;Tamer Skill Book - Lightning of Earth I;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
118;Tamer Skill Book - Scratch;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
119;Tamer Skill Book - Roaring;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
120;Musa Skill Book - Blind Thrust;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
121;Musa Skill Book - Retaliation I;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
122;Musa Skill Book - Rising Storm I;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
123;Warrior Skill Book - Increase Grip;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
124;Musa Skill Book - Force of the Sword;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
125;Tamer Skill Book - Bless of Legendary Beast;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
126;Valkyrie Skill Book - Breath of Elion;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
127;Valkyrie Skill Book - Sword of Judgment;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
128;Valkyrie Skill Book - Righteous Charge;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
129;Valkyrie Skill Book - Noble Vow;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
130;Maehwa Skill Book - Blind Thrust;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
131;Maehwa Skill Book - Retaliation I;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
132;Maehwa Skill Book - Chaos: Red Moon I;WHITE;new_icon/03_etc/05_skillbook/00000000_skillbook
